,location,text
74,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
75,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
76,10 yrs. Los Angeles / Houston,"Look at this! 😍El Paso has raised the money to fly big baby tRump  over the MAGAT rally tomorrow. BRAVO! Fly high,… https://t.co/s1mARDq7EA"
77,I Am Everywhere,"@CNN Trump trash just can't stand the fact that the majority of human beings on this Earth hate them, mock their ig… https://t.co/0ibPJwkxHL"
78,United States,@Acyn Take that wussy Trump!
79,"Longmont, CO",Found out recently that a long time friend is pro trump and anti Obama/left anything. I can’t help but think differ… https://t.co/EeQEbLSviC
80,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
81,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
82,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
83,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
84,"New Jersey, USA",@BryanJFischer @POLITICOMag But I guess it's ok for trump the serial sexual predator to be defiling OUR White House.
85,"Florida, USA",Talks collapse on border deal as another Trump created U.S. government shutdown looms - Reuters https://t.co/k0CRKtoFrt
86,everywhere....,"@TheRoot Isn't Joy Villa the same person who accused Corey Lewandowski, Donald Trump's former campaign manager, of sexual harassment?"
